partition,seed,val_acc,test_acc,val_f1,test_f1,elapsed_s
part_0,0,0.6610486891385767,0.6664167916041979,0.6265953997705788,0.6326300547921364,78.97419500350952
part_0,1,0.6591760299625468,0.6619190404797601,0.6416460630541103,0.6417051779690711,76.55434465408325
part_0,2,0.6722846441947565,0.6799100449775113,0.6431892056648147,0.6486742424434772,76.65519165992737
part_0,3,0.649812734082397,0.6424287856071964,0.6252908271276842,0.6182339662331222,76.71618223190308
part_0,4,0.6554307116104869,0.656671664167916,0.6276587926696238,0.6267031033232865,76.80994534492493
part_1,0,0.6741573033707865,0.6706676669167292,0.6459034790212426,0.6395625490991035,76.32695126533508
part_1,1,0.6629213483146067,0.6564141035258815,0.6336851998424919,0.6264434407652477,77.03474140167236
part_1,2,0.649812734082397,0.6699174793698425,0.6222614732719927,0.6447903015267524,76.44688510894775
part_1,3,0.5749063670411985,0.6084021005251313,0.5546689235404271,0.5930881675342591,76.81518292427063
part_1,4,0.6423220973782772,0.6189047261815454,0.6102360738451391,0.583048554371849,77.11347103118896
part_2,0,0.6348314606741573,0.5993998499624906,0.5997189403203436,0.5670225658252019,77.36500310897827
part_2,1,0.6404494382022472,0.6489122280570142,0.6183778131048675,0.6254306803294489,76.85857009887695
part_2,2,0.649812734082397,0.6496624156039009,0.6181327663894666,0.6174297874220985,76.57598114013672
part_2,3,0.6254681647940075,0.6204051012753188,0.5974313275356498,0.5918111250030095,77.01880693435669
part_2,4,0.6423220973782772,0.6556639159789948,0.6328205843336483,0.6398218851239692,76.96907258033752
part_0,0,0.6610486891385767,0.6664167916041979,0.6265953997705788,0.6326300547921364,
part_0,1,0.6591760299625468,0.6619190404797601,0.6416460630541103,0.6417051779690711,
part_0,2,0.6722846441947565,0.6799100449775113,0.6431892056648147,0.6486742424434772,
part_0,3,0.649812734082397,0.6424287856071964,0.6252908271276842,0.6182339662331222,
part_0,4,0.6554307116104869,0.656671664167916,0.6276587926696238,0.6267031033232865,
part_1,0,0.6741573033707865,0.6706676669167292,0.6459034790212426,0.6395625490991035,
part_1,1,0.6629213483146067,0.6564141035258815,0.6336851998424919,0.6264434407652477,
part_1,2,0.649812734082397,0.6699174793698425,0.6222614732719927,0.6447903015267524,
part_1,3,0.5749063670411985,0.6084021005251313,0.5546689235404271,0.5930881675342591,
part_1,4,0.6423220973782772,0.6189047261815454,0.6102360738451391,0.583048554371849,
part_2,0,0.6348314606741573,0.5993998499624906,0.5997189403203436,0.5670225658252019,
part_2,1,0.6404494382022472,0.6489122280570142,0.6183778131048675,0.6254306803294489,
part_2,2,0.649812734082397,0.6496624156039009,0.6181327663894666,0.6174297874220985,
part_2,3,0.6254681647940075,0.6204051012753188,0.5974313275356498,0.5918111250030095,
part_2,4,0.6423220973782772,0.6556639159789948,0.6328205843336483,0.6398218851239692,
part_0,0,0.6610486891385767,0.6664167916041979,0.6265953997705788,0.6326300547921364,
part_0,1,0.6591760299625468,0.6619190404797601,0.6416460630541103,0.6417051779690711,
part_0,2,0.6722846441947565,0.6799100449775113,0.6431892056648147,0.6486742424434772,
part_0,3,0.649812734082397,0.6424287856071964,0.6252908271276842,0.6182339662331222,
part_0,4,0.6554307116104869,0.656671664167916,0.6276587926696238,0.6267031033232865,
part_1,0,0.6741573033707865,0.6706676669167292,0.6459034790212426,0.6395625490991035,
part_1,1,0.6629213483146067,0.6564141035258815,0.6336851998424919,0.6264434407652477,
part_1,2,0.649812734082397,0.6699174793698425,0.6222614732719927,0.6447903015267524,
part_1,3,0.5749063670411985,0.6084021005251313,0.5546689235404271,0.5930881675342591,
part_1,4,0.6423220973782772,0.6189047261815454,0.6102360738451391,0.583048554371849,
part_2,0,0.6348314606741573,0.5993998499624906,0.5997189403203436,0.5670225658252019,
part_2,1,0.6404494382022472,0.6489122280570142,0.6183778131048675,0.6254306803294489,
part_2,2,0.649812734082397,0.6496624156039009,0.6181327663894666,0.6174297874220985,
part_2,3,0.6254681647940075,0.6204051012753188,0.5974313275356498,0.5918111250030095,
part_2,4,0.6423220973782772,0.6556639159789948,0.6328205843336483,0.6398218851239692,
