root_id,flow,super_class,class,sub_class,hemilineage,side,nerve
720575940624446442,intrinsic,optic,optic_lobe_intrinsic,transmedullary_y,,left,
720575940613497573,intrinsic,optic,optic_lobe_intrinsic,distal_medulla,,left,
720575940638553828,intrinsic,optic,optic_lobe_intrinsic,t5_neuron,,left,
720575940608462857,intrinsic,optic,optic_lobe_intrinsic,t2_neuron,,left,
720575940624955406,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,right,
720575940606515814,intrinsic,optic,optic_lobe_intrinsic,t1_neuron,,left,
720575940621905946,intrinsic,optic,optic_lobe_intrinsic,medulla_intrinsic,,left,
720575940639040445,intrinsic,optic,optic_lobe_intrinsic,centrifugal,,right,
720575940617976523,intrinsic,optic,optic_lobe_intrinsic,transmedullary_y,,right,
720575940613568790,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,left,
720575940627725072,intrinsic,optic,optic_lobe_intrinsic,medulla_intrinsic,,left,
720575940613818134,intrinsic,optic,optic_lobe_intrinsic,lamina_monopolar,,right,
720575940609099787,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,left,
720575940624992100,intrinsic,optic,optic_lobe_intrinsic,lobula_intrinsic,,left,
720575940610427050,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,left,
720575940640255104,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,right,
720575940620915565,intrinsic,optic,optic_lobe_intrinsic,t4_neuron,,left,
720575940625625324,intrinsic,optic,optic_lobe_intrinsic,proximal_medulla,,right,
720575940614547879,intrinsic,optic,optic_lobe_intrinsic,t4_neuron,,right,
720575940635755768,intrinsic,optic,optic_lobe_intrinsic,medulla_intrinsic,,left,
720575940611913938,intrinsic,optic,optic_lobe_intrinsic,proximal_medulla,,right,
720575940612107362,intrinsic,optic,optic_lobe_intrinsic,centrifugal,,left,
720575940609758403,intrinsic,optic,optic_lobe_intrinsic,lamina_monopolar,,right,
720575940639675480,intrinsic,optic,optic_lobe_intrinsic,lamina_monopolar,,right,
720575940623408764,intrinsic,optic,optic_lobe_intrinsic,lamina_intrinsic,,right,
720575940611113625,intrinsic,optic,optic_lobe_intrinsic,medulla_intrinsic,,left,
720575940627629464,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,right,
720575940632308025,intrinsic,optic,optic_lobe_intrinsic,transmedullary,,right,
