partition,seed,val_acc,test_acc,val_f1,test_f1,elapsed_s
part_0,0,0.4945770065075922,0.515009543640465,0.197616860880209,0.2110951589865586,356.77156805992126
part_0,1,0.4945770065075922,0.5000867603678639,0.2108645572178486,0.2267997730057402,357.4207925796509
part_0,2,0.5158351409978308,0.528023598820059,0.235365546438636,0.2418948126788013,356.68933176994324
part_0,3,0.4598698481561822,0.478396668401874,0.188282760488757,0.2018023940638288,357.9116623401642
part_0,4,0.5505422993492408,0.5585632483081728,0.2897426815413203,0.2956237816746179,356.3053114414215
part_1,0,0.3644251626898048,0.3687315634218289,0.1546912133552519,0.1518985246026082,357.9681532382965
part_1,1,0.5136659436008677,0.510845045982995,0.2232900985875243,0.2124226751052033,357.5397238731384
part_1,2,0.513232104121475,0.5137948984903696,0.2184092482934349,0.2098803301737011,358.08526515960693
part_1,3,0.3830802603036876,0.3815720978656949,0.1671697354362162,0.1651169498595103,358.9184148311615
part_1,4,0.5622559652928416,0.5649835155301058,0.2934826381974319,0.3011403864977128,356.64424443244934
part_2,0,0.3607979184735472,0.3491843110031239,0.1564470763270868,0.1519825541470184,356.99951577186584
part_2,1,0.5281873373807459,0.5300242971190559,0.2253203932815917,0.2276690546642855,358.9462740421295
part_2,2,0.5212489158716392,0.5201318986463034,0.2265092518198108,0.2289316958949298,358.47325921058655
part_2,3,0.406764960971379,0.4005553627212773,0.1677639182425286,0.1614424115716312,358.2496314048767
part_2,4,0.5893321769297485,0.5836515098923984,0.322501190382959,0.3174064787501975,358.19051790237427
